12.23:20.15.12 ERROR	ru.sfedu.musicapp.api.XmlAPITest:31 - cant write to xml file
12.23:20.15.59 ERROR	ru.sfedu.musicapp.api.XmlAPITest:31 - No matching get method for public void ru.sfedu.musicapp.models.User.setUserType(ru.sfedu.musicapp.models.UserType) in class ru.sfedu.musicapp.models.User
12.23:20.15.59 ERROR	ru.sfedu.musicapp.api.XmlAPITest:32 - cant write to xml file
12.23:20.18.46 ERROR	ru.sfedu.musicapp.api.XmlAPITest:31 - No matching get method for public void ru.sfedu.musicapp.models.User.setUserType(java.lang.String) in class ru.sfedu.musicapp.models.User
12.23:20.18.46 ERROR	ru.sfedu.musicapp.api.XmlAPITest:32 - cant write to xml file
12.23:20.19.43  INFO	ru.sfedu.musicapp.api.XmlAPITest:27 - <User id="240" login="xmluser" email="test@gmail.com" type="Producer"/>
12.23:23.55.07  INFO	ru.sfedu.musicapp.api.MysqlAPITest:27 - Connection established
12.24:00.31.13  INFO	ru.sfedu.musicapp.api.MysqlAPITest:30 - 1 rows was added
12.24:00.40.50  INFO	ru.sfedu.musicapp.api.MysqlAPITest:30 - 0 rows was modified
12.24:00.42.20  INFO	ru.sfedu.musicapp.api.MysqlAPITest:30 - 1 rows was modified
12.24:00.46.15  INFO	ru.sfedu.musicapp.api.MysqlAPITest:30 - 1 rows was modified
12.24:00.46.15  INFO	ru.sfedu.musicapp.api.MysqlAPITest:30 - 1 rows was modified
12.24:00.47.29  INFO	ru.sfedu.musicapp.api.MysqlAPITest:30 - 1 rows was modified
12.24:09.04.48  INFO	ru.sfedu.musicapp.api.XmlAPITest:36 - xml file was created
12.24:09.17.44  INFO	ru.sfedu.musicapp.api.XmlAPITest:63 - row added to xml file
12.24:09.17.44  INFO	ru.sfedu.musicapp.api.XmlAPITest:63 - row added to xml file
12.24:09.17.44  INFO	ru.sfedu.musicapp.api.XmlAPITest:63 - row added to xml file
12.24:09.28.18  INFO	ru.sfedu.musicapp.api.XmlAPITest:63 - row added to xml file
